,Country,Country Code,Year,Exports (% of GDP),FDI (% of GDP),GDP (USD),Imports (% of GDP),Inflation (%),Density (p/km2),Population,Unemployment (% of total labor force)
30,Brunei Darussalam,BRN,1990,61.80849397,0.198832471,9094891762.0,37.26688607,2.138662932,49.70170778,261928.0,0.0
31,Brunei Darussalam,BRN,1991,66.67709148,0.135074277,9381011724.0,40.17200938,1.6,51.20683112,269860.0,4.7
32,Brunei Darussalam,BRN,1992,57.87234043,0.167322084,9827414751.0,47.90902421,1.279527559,52.64060721,277416.0,4.824
33,Brunei Darussalam,BRN,1993,54.76334037,0.194850769,9857346390.0,51.76364185,4.25170068,54.02523719,284713.0,4.863
34,Brunei Darussalam,BRN,1994,51.08121096,0.14410357,10167399107.0,48.40621496,2.462518449,55.39563567,291935.0,5.004
35,Brunei Darussalam,BRN,1995,59.71684054,12.31005697,10622767157.0,55.8271237,5.966641395,56.75464896,299097.0,5.125
36,Brunei Darussalam,BRN,1996,59.93345349,12.77659781,10928524149.0,60.64051019,1.99613651,58.10170778,306196.0,5.202
37,Brunei Darussalam,BRN,1997,57.18543475,13.501925,10767746809.0,58.49423351,1.711560045,59.43358634,313215.0,5.234
38,Brunei Darussalam,BRN,1998,50.4719764,14.15031268,10707607990.0,57.40412979,-0.44137931,60.74990512,320152.0,5.346
39,Brunei Darussalam,BRN,1999,55.81633962,16.25801453,11034421012.0,48.40323201,-0.415627598,62.05787476,327045.0,5.502
40,Brunei Darussalam,BRN,2000,67.35433192,9.158360446,11348838216.0,35.81729355,1.558152476,63.36356736,333926.0,5.597
41,Brunei Darussalam,BRN,2001,69.52530593,1.08362189,11660254935.0,39.19356475,0.595890411,64.65806452,340748.0,5.694
42,Brunei Darussalam,BRN,2002,67.12183029,3.930498376,12111751313.0,41.62613879,-2.314972425,65.93225806,347463.0,5.81
43,Brunei Darussalam,BRN,2003,69.28925184,1.888281555,12463471178.0,35.96921573,0.3,67.18121442,354045.0,5.891
44,Brunei Darussalam,BRN,2004,68.79904697,1.438021789,12526326738.0,31.79052372,0.814223995,68.39867173,360461.0,5.946
45,Brunei Darussalam,BRN,2005,70.16844716,1.836754981,12574867157.0,27.28916946,1.244437119,69.5857685,366717.0,6.04
46,Brunei Darussalam,BRN,2006,71.72469796,0.765769354,13127874565.0,25.2164514,0.159888078,70.74155598,372808.0,6.21
47,Brunei Darussalam,BRN,2007,67.85275077,2.103544653,13148167871.0,27.8977165,0.96777412,71.8686907,378748.0,6.23
48,Brunei Darussalam,BRN,2008,78.29923669,1.543688044,12893130934.0,27.61460739,2.084980237,72.97305503,384568.0,6.288
49,Brunei Darussalam,BRN,2009,72.78317629,3.033690978,12665627056.0,35.7894602,1.035717743,74.06280835,390311.0,6.388
50,Brunei Darussalam,BRN,2010,67.40746923,3.507036879,12994802365.0,27.96147673,0.356869132,75.15237192,396053.0,6.568
51,Brunei Darussalam,BRN,2011,69.50607218,3.730949183,13481499083.0,30.03046818,0.137911563,76.18709677,401506.0,6.69
52,Brunei Darussalam,BRN,2012,70.16126866,4.540677437,13604563824.0,35.47975532,0.111766261,77.1601518,406634.0,6.732
53,Brunei Darussalam,BRN,2013,68.04187464,4.286776224,13315326918.0,42.8950042,0.389205053,78.12182163,411702.0,6.77
54,Brunei Darussalam,BRN,2014,68.17708045,3.356501991,12981331573.0,34.24388837,-0.207108732,79.06185958,416656.0,6.86
55,Brunei Darussalam,BRN,2015,52.21059737,1.324701748,12930394938.0,37.68319271,-0.488347421,79.96907021,421437.0,7.693
56,Brunei Darussalam,BRN,2016,49.57690627,-1.320522338,12609990391.0,37.74136081,-0.278693266,80.83377609,425994.0,8.432
57,Brunei Darussalam,BRN,2017,49.5732417,3.858208317,12777527045.0,35.60350735,-1.260505646,81.64629981,430276.0,9.32
58,Brunei Darussalam,BRN,2018,51.93227638,3.804741353,12784201743.0,41.96404349,1.025051793,82.40493359,434274.0,8.7
59,Brunei Darussalam,BRN,2019,57.94604054,2.771141484,13278836553.0,50.56361782,-0.390522069,83.12106262,438048.0,6.92
60,Brunei Darussalam,BRN,2020,57.35611142,4.71056541,13429361906.0,52.93489224,1.940319966,83.81878558,441725.0,7.41
61,Brunei Darussalam,BRN,2021,80.16891086,1.461809608,13215732655.0,66.9542018,1.733413885,83.81878558,445373.0,7.446
63,Cambodia,KHM,1960,13.9013451,0.0,0.0,21.97309253,0.0,83.81878558,5541676.0,0.0
64,Cambodia,KHM,1961,12.88888906,0.0,0.0,18.66666692,0.0,32.0907206,5664654.0,0.0
65,Cambodia,KHM,1962,13.85281367,0.0,0.0,22.94372135,0.0,32.79432359,5788854.0,0.0
66,Cambodia,KHM,1963,17.25490176,0.0,0.0,20.7843123,0.0,33.50147292,5913680.0,0.0
67,Cambodia,KHM,1964,14.96350392,0.0,0.0,15.69343204,0.0,34.22188421,6040847.0,0.0
68,Cambodia,KHM,1965,11.51315789,0.0,0.0,12.5,0.0,34.95766485,6170727.0,0.0
69,Cambodia,KHM,1966,7.8125,0.0,0.0,12.8125,0.0,35.68564469,6299230.0,0.0
70,Cambodia,KHM,1967,8.902077231,0.0,0.0,10.08902086,0.0,36.40632789,6426445.0,0.0
71,Cambodia,KHM,1968,8.579088771,0.0,0.0,10.72386096,0.0,37.12388964,6553109.0,0.0
72,Cambodia,KHM,1969,6.954436501,0.0,0.0,10.55155883,0.0,37.84108316,6679708.0,0.0
73,Cambodia,KHM,1970,5.764410984,0.013919799,0.0,7.7694235,0.0,38.00433379,6708525.0,0.0
74,Cambodia,KHM,1971,0.0,-0.028868616,0.0,0.0,0.0,37.93521414,6696324.0,0.0
75,Cambodia,KHM,1972,0.0,-0.001978046,0.0,0.0,0.0,38.33157149,6766289.0,0.0
76,Cambodia,KHM,1973,0.0,0.027030905,0.0,0.0,0.0,38.81917063,6852360.0,0.0
77,Cambodia,KHM,1974,0.0,0.229418644,0.0,0.0,0.0,39.16501246,6913408.0,0.0
78,Cambodia,KHM,1975,0.0,0.0,0.0,0.0,0.0,38.11421935,6727922.0,0.0
79,Cambodia,KHM,1976,0.0,0.0,0.0,0.0,0.0,35.7303535,6307122.0,0.0
80,Cambodia,KHM,1977,0.0,0.0,0.0,0.0,0.0,34.2182019,6040197.0,0.0
81,Cambodia,KHM,1978,0.0,0.0,0.0,0.0,0.0,33.77063789,5961193.0,0.0
82,Cambodia,KHM,1979,0.0,0.0,0.0,0.0,0.0,34.28397915,6051808.0,0.0
83,Cambodia,KHM,1980,0.0,0.0,0.0,0.0,0.0,35.1176014,6198959.0,0.0
84,Cambodia,KHM,1981,0.0,0.0,0.0,0.0,0.0,36.05524586,6364472.0,0.0
85,Cambodia,KHM,1982,0.0,0.0,0.0,0.0,0.0,37.50112735,6619699.0,0.0
86,Cambodia,KHM,1983,0.0,0.0,0.0,0.0,0.0,38.98686834,6881962.0,0.0
87,Cambodia,KHM,1984,0.0,0.0,0.0,0.0,0.0,40.41411172,7133899.0,0.0
88,Cambodia,KHM,1985,0.0,0.0,0.0,0.0,0.0,41.78614321,7376090.0,0.0
89,Cambodia,KHM,1986,0.0,0.0,0.0,0.0,0.0,43.40197711,7661317.0,0.0
90,Cambodia,KHM,1987,0.0,0.0,0.0,0.0,0.0,45.1823986,7975597.0,0.0
91,Cambodia,KHM,1988,0.0,0.0,0.0,0.0,0.0,46.84896896,8269780.0,0.0
92,Cambodia,KHM,1989,0.0,0.0,0.0,0.0,0.0,48.5549966,8570928.0,0.0
93,Cambodia,KHM,1990,0.0,0.0,0.0,0.0,0.0,50.48044414,8910808.0,0.0
94,Cambodia,KHM,1991,0.0,0.0,0.0,0.0,0.0,52.45503059,9259362.0,0.749
95,Cambodia,KHM,1992,0.0,0.0,0.0,0.0,0.0,55.05446975,9718215.0,0.768
96,Cambodia,KHM,1993,16.05707363,2.13614124,5775009073.0,32.66718415,0.0,58.03053478,10243550.0,0.813
97,Cambodia,KHM,1994,25.79195939,2.46826429,3764807026.0,38.67607256,0.0,60.25579538,10636353.0,1.38
98,Cambodia,KHM,1995,31.18418153,4.382185009,4137653519.0,46.58254651,-0.798944338,61.86000453,10919528.0,0.785
99,Cambodia,KHM,1996,25.36400674,8.372554207,4381671867.0,43.79756006,7.150861409,63.35039656,11182612.0,0.84
100,Cambodia,KHM,1997,33.61693558,5.915641749,4557228855.0,45.31770888,7.960213978,64.76075799,11431569.0,0.913
101,Cambodia,KHM,1998,31.23814579,3.713331177,4770581545.0,44.38132721,14.80650354,66.10625991,11669077.0,0.952
102,Cambodia,KHM,1999,40.54418618,2.906419522,5376702112.0,53.6327019,4.008207021,67.4088262,11899006.0,0.898
103,Cambodia,KHM,2000,49.84623523,3.237754226,5914027157.0,61.76329887,-0.791992529,68.65420915,12118841.0,0.972
104,Cambodia,KHM,2001,52.54124718,3.676756427,6395924923.0,61.59980449,-0.6006483,69.89685022,12338192.0,1.04
105,Cambodia,KHM,2002,55.42213314,3.056850915,6816708955.0,64.27080295,0.211466568,71.16348856,12561779.0,1.107
106,Cambodia,KHM,2003,56.52047035,1.751316579,7396531099.0,66.56034186,0.941746118,72.44340585,12787710.0,1.121
107,Cambodia,KHM,2004,63.60589501,2.461977045,8161371526.0,70.90552236,4.319336774,73.73878881,13016371.0,1.134
108,Cambodia,KHM,2005,64.08470726,6.025383905,9242760346.0,72.74722281,6.61525912,75.04295831,13246583.0,1.13
109,Cambodia,KHM,2006,68.59324512,6.64242251,10238305796.0,76.02120838,5.810685505,76.35270224,13477779.0,1.209
110,Cambodia,KHM,2007,65.32596805,10.03894968,11283900343.0,72.94217882,8.708827706,77.69539429,13714791.0,1.26
111,Cambodia,KHM,2008,65.5432507,7.874681055,12038971277.0,67.77700868,24.09685193,78.99324722,13943888.0,0.82
112,Cambodia,KHM,2009,49.2207635,8.925272448,12049408699.0,55.91771187,-1.241717542,80.19340585,14155740.0,0.58
113,Cambodia,KHM,2010,54.08278279,12.49138118,12767924407.0,59.52093544,3.996395281,81.37056424,14363532.0,0.77
114,Cambodia,KHM,2011,54.08075591,11.99484384,13670561754.0,59.50108761,5.478447496,82.56223091,14573885.0,0.58
115,Cambodia,KHM,2012,57.88976453,14.14572541,14670337168.0,62.70767297,2.934316093,83.7675051,14786640.0,0.509
116,Cambodia,KHM,2013,62.3879358,13.58334609,15749584749.0,67.65855087,2.941625095,84.97441083,14999683.0,0.44
117,Cambodia,KHM,2014,62.60347417,11.09689482,16874510038.0,67.00875814,3.855688614,86.17050193,15210817.0,0.69
118,Cambodia,KHM,2015,61.71842376,10.09866353,18049954289.0,66.14564324,1.223931955,87.34150804,15417523.0,0.39
119,Cambodia,KHM,2016,61.28152493,12.36922143,19301414292.0,65.66850405,3.019139751,88.51452527,15624584.0,0.72
120,Cambodia,KHM,2017,60.68195781,12.57184973,20651915663.0,64.10581574,2.912635574,89.68212667,15830689.0,0.14
121,Cambodia,KHM,2018,61.59572751,13.07449807,22194442188.0,63.30288532,2.459085154,90.78426241,16025238.0,0.142
122,Cambodia,KHM,2019,61.09129652,13.52202109,23760061873.0,62.46522725,1.942575008,91.81818491,16207746.0,0.146
123,Cambodia,KHM,2020,61.04181636,14.00948204,23024448759.0,62.4611925,2.940295143,92.88953093,16396860.0,0.298
124,Cambodia,KHM,2021,64.60246307,12.92034312,23721258227.0,67.61144273,2.920734776,92.88953093,16589023.0,0.295
126,China,CHN,1960,4.305829535,0.0,158907000000.0,4.428270186,0.0,92.88953093,667070000.0,0.0
127,China,CHN,1961,3.870810679,0.0,115573000000.0,3.489410046,0.0,70.06376861,660330000.0,0.0
128,China,CHN,1962,4.052658751,0.0,109124000000.0,2.908277405,0.0,70.64097531,665770000.0,0.0
129,China,CHN,1963,4.005447408,0.0,120364000000.0,2.85988945,0.0,72.39859094,682335000.0,0.0
130,China,CHN,1964,3.768963875,0.0,142246000000.0,2.864140418,0.0,74.09837979,698355000.0,0.0
131,China,CHN,1965,3.638985006,0.0,166357000000.0,3.189158016,0.0,75.88411302,715185000.0,0.0
132,China,CHN,1966,3.494467094,0.0,184074000000.0,3.235029385,0.0,78.02900888,735400000.0,0.0
133,China,CHN,1967,3.277226619,0.0,173453000000.0,2.976256828,0.0,80.0609038,754550000.0,0.0
134,China,CHN,1968,3.302562926,0.0,166341000000.0,2.918410642,0.0,82.17874309,774510000.0,0.0
135,China,CHN,1969,3.047599633,0.0,194519000000.0,2.405463256,0.0,84.46157437,796025000.0,0.0
136,China,CHN,1970,2.491555906,0.0,232062000000.0,2.460850112,0.0,86.82663639,818315000.0,0.0
137,China,CHN,1971,2.788066262,0.0,248445000000.0,2.132768936,0.0,89.2447505,841105000.0,0.0
138,China,CHN,1972,3.247923523,0.0,257911000000.0,2.507443974,0.0,91.46498032,862030000.0,0.0
139,China,CHN,1973,4.241346782,0.0,277925000000.0,3.758798346,0.0,93.5775144,881940000.0,0.0
140,China,CHN,1974,4.929801606,0.0,284345000000.0,5.403684974,0.0,95.53089223,900350000.0,0.0
141,China,CHN,1975,4.704721171,0.0,309140000000.0,4.849481823,0.0,97.23343686,916395000.0,0.0
142,China,CHN,1976,4.510473131,0.0,304286000000.0,4.326440474,0.0,98.7496671,930685000.0,0.0
143,China,CHN,1977,4.298461538,0.0,327321000000.0,4.086153846,0.0,100.104725,943455000.0,0.0
144,China,CHN,1978,4.555954147,0.0,364393000000.0,5.094187394,0.0,101.4533119,956165000.0,0.0
145,China,CHN,1979,5.162843357,4.49e-05,392055000000.0,5.923734773,0.0,102.8156924,969005000.0,0.0
146,China,CHN,1980,5.911612142,0.029819636,422770000000.0,6.513236386,0.0,104.1133492,981235000.0,0.0
147,China,CHN,1981,7.44757799,0.135296316,444385000000.0,7.44960399,0.0,105.4555698,993885000.0,0.0
148,China,CHN,1982,7.959789534,0.209664357,484456000000.0,6.264997687,0.0,107.0201927,1008630000.0,0.0
149,China,CHN,1983,7.204719737,0.275698543,536632000000.0,6.361074373,0.0,108.577807,1023310000.0,0.0
150,China,CHN,1984,7.893545315,0.483945715,618155000000.0,7.876332983,0.0,110.0118094,1036825000.0,0.0
151,China,CHN,1985,8.327444092,0.536046583,701178000000.0,12.3621618,0.0,111.5200851,1051040000.0,0.0
152,China,CHN,1986,8.71924864,0.623424606,763933000000.0,11.17836701,0.0,113.1912311,1066790000.0,0.0
153,China,CHN,1987,10.41698495,0.847702965,852988000000.0,10.32801845,7.233835531,115.0210034,1084035000.0,0.0
154,China,CHN,1988,11.01490459,1.022558946,948715000000.0,12.01062681,18.81181794,116.8879123,1101630000.0,0.0
155,China,CHN,1989,9.027345053,0.97565029,988621000000.0,10.10736203,18.24563836,118.693811,1118650000.0,0.0
156,China,CHN,1990,12.45160262,0.966308311,1027380000000.0,9.747870711,3.052290121,120.4482491,1135185000.0,0.0
157,China,CHN,1991,13.43637117,1.138837732,1122540000000.0,10.62996355,3.556685652,122.102949,1150780000.0,2.37
158,China,CHN,1992,13.55554446,2.613162193,1282220000000.0,12.54203293,6.35398134,123.608572,1164970000.0,2.37
159,China,CHN,1993,11.99788329,6.186882076,1460240000000.0,13.9025469,14.61007864,125.0377997,1178440000.0,2.69
160,China,CHN,1994,18.53674857,5.987156294,1650610000000.0,17.23306642,24.25698972,126.4590697,1191835000.0,2.9
161,China,CHN,1995,17.95252283,4.88044416,1831410000000.0,16.32444624,16.79122517,127.8398722,1204855000.0,3.0
162,China,CHN,1996,17.92329555,4.651826651,2013130000000.0,15.89144991,8.313160289,129.1869989,1217550000.0,3.12
163,China,CHN,1997,19.49316446,4.725334152,2199080000000.0,15.0398529,2.786465055,130.5159522,1230075000.0,3.23
164,China,CHN,1998,18.34210003,4.435577102,2371620000000.0,14.08220459,-0.773186012,131.7743464,1241935000.0,3.24
165,China,CHN,1999,18.16247676,3.74900388,2553330000000.0,15.361685,-1.401472683,132.9202702,1252735000.0,3.25
166,China,CHN,2000,20.8936972,3.475082246,2770110000000.0,18.51731765,0.347811227,133.9719036,1262645000.0,3.26
167,China,CHN,2001,20.31214574,3.51300212,3001020000000.0,18.21521353,0.719125609,134.9485897,1271850000.0,3.8
168,China,CHN,2002,22.64474567,3.609099885,3275120000000.0,20.10265796,-0.731970902,135.8557803,1280400000.0,4.24
169,China,CHN,2003,26.98075653,3.48740331,3603880000000.0,24.82323147,1.127603487,136.7046209,1288400000.0,4.58
170,China,CHN,2004,31.06133758,3.483641114,3968360000000.0,28.44418664,3.824637431,137.5189588,1296075000.0,4.49
171,China,CHN,2005,33.82985757,4.554254034,4420540000000.0,28.3780353,1.776414077,138.3301355,1303720000.0,4.52
172,China,CHN,2006,36.03502555,4.508579016,4982870000000.0,28.44385835,1.649430995,139.104693,1311020000.0,4.43
173,China,CHN,2007,35.43479853,4.40096483,5691980000000.0,26.75856495,4.816767674,139.8330981,1317885000.0,4.35
174,China,CHN,2008,32.60271402,3.73363489,6241290000000.0,25.01000133,5.92525137,140.5514234,1324655000.0,4.59
175,China,CHN,2009,24.74985594,2.568888291,6827890000000.0,20.43501444,-0.728165251,141.252234,1331260000.0,4.72
176,China,CHN,2010,27.18533272,4.0035629,7554100000000.0,23.53174494,3.175324753,141.9360723,1337705000.0,4.53
177,China,CHN,2011,26.56818935,3.708828902,8275580000000.0,24.17271524,5.553898923,142.7138128,1345035000.0,4.55
178,China,CHN,2012,25.49252222,2.827090556,8926350000000.0,22.77500014,2.619524326,143.6851964,1354190000.0,4.58
179,China,CHN,2013,24.59925444,3.039875469,9619580000000.0,22.14512114,2.621050017,144.645433,1363240000.0,4.6
180,China,CHN,2014,23.51006091,2.559233447,10333900000000.0,21.39515505,1.921641628,145.5600508,1371860000.0,4.63
181,China,CHN,2015,21.35407988,2.192181603,11061600000000.0,18.11008945,1.437023809,146.4088825,1379860000.0,4.65
182,China,CHN,2016,19.58438005,1.55564215,11819100000000.0,17.31003496,2.000001822,147.2503025,1387790000.0,4.56
183,China,CHN,2017,19.69227699,1.349132679,12640200000000.0,17.94013625,1.593136001,148.1442254,1396215000.0,4.47
184,China,CHN,2018,19.11210354,1.693905294,13493400000000.0,18.45368057,2.0747904,148.838644,1402760000.0,4.31
185,China,CHN,2019,18.40999232,1.310718778,14296300000000.0,17.48010372,2.899234164,149.3675732,1407745000.0,4.56
186,China,CHN,2020,18.58613924,1.723183793,14616500000000.0,16.16815654,2.419421895,149.7235526,1411100000.0,5.0
187,China,CHN,2021,20.03776186,1.883262938,15801900000000.0,17.43119637,0.981015136,149.7235526,1412360000.0,4.55
189,India,IND,1960,4.463156456,0.0,136368000000.0,6.833676657,1.779877847,149.7235526,445954579.0,0.0
190,India,IND,1961,4.30358619,0.0,141445000000.0,5.957576405,1.695212939,153.4889718,456351876.0,0.0
191,India,IND,1962,4.168975283,0.0,145591000000.0,6.031814896,3.632214971,157.0784891,467024193.0,0.0
192,India,IND,1963,4.280503385,0.0,154318000000.0,5.906834458,2.946161357,160.7477554,477933619.0,0.0
193,India,IND,1964,3.725551173,0.0,165819000000.0,5.684997747,13.35526115,164.4897598,489059309.0,0.0
194,India,IND,1965,3.307472781,0.0,161448000000.0,5.211561589,9.474758592,168.2080008,500114346.0,0.0
195,India,IND,1966,4.14255066,0.0,161359000000.0,6.671686852,10.80184835,171.8667885,510992617.0,0.0
196,India,IND,1967,4.034444995,0.0,173987000000.0,5.946617673,13.06220248,175.5646524,521987069.0,0.0
197,India,IND,1968,4.038771006,0.0,179882000000.0,4.94297347,3.237412426,179.4139994,533431909.0,0.0
198,India,IND,1969,3.71384282,0.0,191645000000.0,4.030933823,-0.58413661,183.4106364,545314670.0,0.0
199,India,IND,1970,3.782825062,0.072826324,201529000000.0,3.878944276,5.09226162,187.5094767,557501301.0,0.0
200,India,IND,1971,3.667205217,0.070763624,204840000000.0,4.002401341,3.079938684,191.7130012,569999178.0,0.0
201,India,IND,1972,4.027489262,0.024893933,203707000000.0,3.708910336,6.442097462,196.0311897,582837973.0,0.0
202,India,IND,1973,4.208763192,0.044331264,210420000000.0,4.723332826,16.94081598,200.4942446,596107483.0,0.0
203,India,IND,1974,4.831321003,0.057241382,212914000000.0,6.02056925,28.59873408,205.0733223,609721951.0,0.0
204,India,IND,1975,5.647062158,-0.010486395,232395000000.0,6.646916056,5.748430298,209.7155644,623524219.0,0.0
205,India,IND,1976,6.686512862,-0.007502573,236260000000.0,6.114690211,-7.633947634,214.3998359,637451448.0,0.0
206,India,IND,1977,6.383171814,-0.029682109,253400000000.0,6.264929324,8.307470092,219.1873469,651685628.0,0.0
207,India,IND,1978,6.314825235,0.0131755,267876000000.0,6.588186608,2.523048757,224.0918878,666267760.0,0.0
208,India,IND,1979,6.749638157,0.03174683,253844000000.0,8.169166374,6.275683368,229.1304568,681248383.0,0.0
209,India,IND,1980,6.139551132,0.042484827,270943000000.0,9.245025716,11.34607348,234.3706204,696828385.0,0.0
210,India,IND,1981,5.936026627,0.047506181,287216000000.0,8.571238135,13.1125469,239.7658064,712869298.0,0.0
211,India,IND,1982,5.983299849,0.03591159,297199000000.0,8.142627901,7.890742794,245.24819,729169466.0,0.0
212,India,IND,1983,5.837629424,0.002584047,318861000000.0,7.852964463,11.8680813,250.850617,745826546.0,0.0
213,India,IND,1984,6.283401393,0.009068703,331044000000.0,7.725974551,8.318907119,256.5914577,762895156.0,0.0
214,India,IND,1985,5.254554996,0.045627777,348438000000.0,7.645481198,5.556424232,262.4259075,780242084.0,0.0
215,India,IND,1986,5.19622166,0.047283784,365082000000.0,7.023050239,8.729720727,268.3578893,797878993.0,0.0
216,India,IND,1987,5.604580884,0.076091199,379559000000.0,6.980233152,8.801125813,274.357214,815716125.0,0.0
217,India,IND,1988,6.035219755,0.030766482,416102000000.0,7.455230361,9.383471862,280.4158769,833729681.0,0.0
218,India,IND,1989,7.016130278,0.085156734,440849000000.0,8.152001813,7.074280029,286.5651617,852012673.0,0.0
219,India,IND,1990,7.053350234,0.073740021,465243000000.0,8.452911276,8.971232503,292.7670835,870452165.0,0.0
220,India,IND,1991,8.494240771,0.02722554,470160000000.0,8.493485781,13.87024618,298.9858556,888941756.0,6.737
221,India,IND,1992,8.842926925,0.095941829,495936000000.0,9.590172117,11.78781704,305.2526239,907574049.0,6.815
222,India,IND,1993,9.834217455,0.197056163,519496000000.0,9.817322332,6.326890488,311.5681463,926351297.0,6.798
223,India,IND,1994,9.888084916,0.297385909,554089000000.0,10.19005946,10.24793556,317.9285407,945261958.0,6.83
224,India,IND,1995,10.84396803,0.594986258,596059000000.0,12.02348067,10.22488616,324.3247586,964279129.0,7.014
225,India,IND,1996,10.38516927,0.617479056,641058000000.0,11.5443186,8.977152338,330.7159038,983281218.0,7.181
226,India,IND,1997,10.69071732,0.860208566,667020000000.0,11.92866955,7.164252115,337.1245127,1002335230.0,7.279
227,India,IND,1998,11.01846918,0.625285966,708271000000.0,12.6810009,13.23083898,343.5483693,1021434576.0,7.487
228,India,IND,1999,11.45206461,0.472644846,770923000000.0,13.36353343,4.66982038,349.9608347,1040500054.0,7.709
229,India,IND,2000,12.99723631,0.765212649,800534000000.0,13.9036866,4.00943591,356.3962192,1059633675.0,7.77
230,India,IND,2001,12.55837963,1.056378305,839152000000.0,13.43487512,3.779293122,362.9000861,1078970907.0,7.957
231,India,IND,2002,14.26438392,1.011571805,871073000000.0,15.24427901,4.297152039,369.4056011,1098313039.0,8.102
232,India,IND,2003,14.94791386,0.605889255,939543000000.0,15.64452227,3.805858995,375.8303785,1117415123.0,8.36
233,India,IND,2004,17.85912496,0.765601405,1013980000000.0,19.6446891,3.767251735,382.1701886,1136264583.0,8.531
234,India,IND,2005,19.60524669,0.88610072,1094320000000.0,22.39642292,4.24634362,388.3501266,1154638713.0,8.7
235,India,IND,2006,21.26794142,2.130168425,1182530000000.0,24.45653908,5.796523376,394.3151255,1172373788.0,8.625
236,India,IND,2007,20.79969975,2.073395746,1273130000000.0,24.88656893,6.372881356,400.1398528,1189691809.0,8.536
237,India,IND,2008,24.09735726,3.620521897,1312420000000.0,29.27086318,8.349267049,405.8720788,1206734806.0,8.354
238,India,IND,2009,20.40051937,2.651593127,1415610000000.0,25.87235027,10.88235294,411.5580101,1223640160.0,8.384
